Sector_ID,Case_count_2007,Case_count_2008,Case_count_2009,Case_count_2010,Case_count_2011,Case_count_2012,Case_count_2013,Case_count_2014,Case_count_2015,Case_count_2016,Case_count_2017,Case_count_2018,Case_count_2019,Case_count_2020
CO238,0,0,0,0,0,0,0,0,0,1,0,0,3,5
CO239,0,0,0,0,5,4,1,9,2,45,0,2,41,3
CO240,0,1,2,2,6,10,4,3,0,12,1,0,59,8
CO241,0,0,0,2,0,2,0,0,0,4,0,0,0,3
CO242,0,0,0,2,0,4,36,3,6,9,0,0,6,20
CO243,0,0,0,0,2,2,12,3,5,8,0,6,37,14
CO244,0,0,0,0,0,0,5,5,7,0,0,0,8,4
CO245,0,2,0,4,0,3,3,0,14,19,0,0,19,26
CO246,0,1,0,0,0,0,28,0,2,6,0,0,10,26
CO247,0,6,0,0,0,0,5,6,10,33,0,2,79,25
CO248,0,0,0,0,0,0,0,0,0,12,0,2,4,10
CO249,0,0,0,0,0,0,0,0,5,3,0,0,4,8
CO250,0,0,0,0,0,0,3,0,0,10,2,6,3,0
CO251,0,0,0,0,0,0,0,4,0,0,0,2,0,0
CO252,0,0,0,0,0,2,7,0,0,2,0,0,3,3
CO253,0,0,0,0,0,0,3,2,14,5,0,0,22,6
CO254,0,0,0,0,0,2,1,1,2,0,0,2,27,22
CO255,0,0,0,0,0,0,0,0,0,3,0,0,10,8
CO256,0,0,0,0,0,0,0,0,0,4,0,0,0,8
CO257,0,0,0,0,0,0,0,0,0,19,0,2,0,7
CO258,0,1,0,2,0,0,2,1,0,5,0,0,7,4
CO259,0,1,0,0,0,0,0,0,0,0,1,3,3,4
CO260,0,0,0,0,0,0,0,1,1,3,0,0,0,4
CO261,0,0,0,0,0,0,0,0,8,5,0,0,1,8
CO262,0,0,0,0,0,0,8,0,2,3,0,0,0,4
CO263,0,0,0,0,0,0,5,0,0,5,0,0,0,12
CO264,0,0,0,0,0,0,8,0,5,51,0,0,27,5
CO265,0,0,0,2,0,0,3,0,6,9,0,0,3,4
CO266,0,0,0,0,2,0,0,0,11,6,0,0,14,15
CO267,0,4,0,0,0,0,2,0,0,3,0,0,35,9
CO268,0,0,0,0,0,0,0,4,2,8,0,0,3,4
CO269,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CO270,0,0,12,0,0,0,9,0,3,0,0,4,16,4
CO271,0,0,0,0,0,0,4,0,2,2,4,0,0,0
CO272,0,0,0,0,0,0,7,3,18,4,0,0,17,4
CO273,0,0,0,0,2,0,4,1,5,3,0,0,12,0
CO274,0,2,0,0,0,0,0,3,1,3,0,2,4,2
CO276,0,0,0,0,0,0,0,0,0,0,0,0,8,0
CO277,10,0,10,4,0,0,30,2,8,11,0,12,0,14
CO278,0,0,0,2,0,0,0,0,0,39,0,2,64,7
CO279,0,0,0,0,0,0,0,1,0,0,0,0,3,0
CO280,0,0,0,0,0,0,0,1,0,0,0,0,2,0
CO283,0,0,0,0,0,0,1,0,0,1,0,0,0,31
CO284,0,1,0,0,0,1,1,6,0,0,0,0,4,5
CO286,0,0,0,0,0,0,23,3,3,2,0,4,4,24
CO287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO288,0,0,4,0,2,12,4,2,4,3,0,0,0,6
CO289,0,0,0,0,12,4,4,4,10,0,0,0,2,27
CO290,0,0,0,0,0,2,1,2,0,0,0,0,8,40
CO291,2,0,0,0,0,0,29,6,2,35,0,0,24,36
CO292,0,5,1,0,0,6,1,1,0,5,0,2,6,66
CO293,0,4,4,0,2,1,6,8,8,0,0,0,6,24
CO294,2,0,4,3,0,0,2,16,0,5,4,0,4,47
CO295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO296,0,0,0,0,4,0,7,5,0,0,1,1,6,20
CO297,0,0,2,0,8,0,2,10,0,0,2,0,0,2
CO298,0,0,10,0,0,2,37,0,7,30,0,0,0,19
CO299,0,4,0,2,0,0,46,5,4,4,0,0,4,44
CO300,0,0,0,0,0,11,1,0,0,5,0,0,11,24
CO301,0,2,0,0,24,2,15,1,4,2,0,0,6,6
CO302,4,0,0,0,26,8,7,34,3,10,0,0,32,8
CO303,0,0,0,0,0,0,1,0,0,1,0,0,1,2
CO305,0,0,0,0,0,1,6,0,0,0,0,2,3,2
CO306,4,4,0,0,0,0,1,0,0,5,0,16,15,42
CO307,0,0,0,0,0,0,2,2,4,10,0,3,26,26
CO308,0,0,0,0,0,0,3,4,6,0,0,0,4,3
CO309,0,0,0,0,0,2,23,0,0,4,0,0,4,39
CO310,0,2,0,0,0,0,17,0,3,0,0,0,6,7
CO311,0,4,0,0,0,2,2,0,0,2,0,0,6,15
CO312,4,0,0,1,2,0,1,2,0,3,0,0,0,0
CO313,0,0,0,1,2,0,1,0,0,0,0,0,23,16
CO314,0,0,0,0,0,0,0,0,0,1,0,0,103,8
CO315,0,0,0,0,0,2,0,0,2,1,0,0,26,51
CO316,0,0,16,0,0,2,1,2,1,0,0,0,48,28
CO317,0,0,0,0,0,0,0,1,0,23,0,0,0,64
CO318,0,0,0,0,0,34,0,0,0,2,0,2,7,49
CO319,0,1,0,0,0,0,5,1,2,0,2,5,26,11
CO320,0,9,0,0,0,0,0,0,3,0,0,36,37,9
CO321,0,0,0,0,0,2,6,0,0,2,0,0,2,12
CO322,1,0,0,0,3,0,0,2,0,0,0,0,135,18
CO323,0,1,0,0,0,0,12,4,0,1,0,0,8,0
CO324,0,0,0,4,2,0,16,13,1,12,0,0,3,4
CO325,0,0,8,0,6,4,11,12,0,2,0,0,3,29
CO326,0,6,0,0,18,2,10,10,5,0,0,0,6,8
CO327,0,0,64,0,4,0,1,12,0,2,0,0,0,17
CO328,0,0,8,0,26,0,0,22,2,1,0,0,0,13
CO329,0,0,0,0,0,0,0,2,0,0,0,2,7,57
CO331,0,0,0,0,0,0,0,0,0,0,0,0,0,14
CO332,0,0,0,2,0,0,0,1,0,0,0,0,6,53
CO333,0,0,0,0,0,0,0,0,0,0,0,0,24,26
CO334,0,0,4,0,0,0,0,4,5,17,0,0,77,10
CO335,0,0,0,0,0,0,1,0,0,4,0,0,17,5
CO336,0,0,0,0,0,2,1,2,0,0,0,0,6,6
CO337,0,0,0,0,0,0,2,2,0,7,0,0,30,12
CO338,0,0,0,2,6,0,3,0,0,13,0,0,35,7
CO339,0,6,0,2,0,0,3,0,0,6,0,1,79,30
CO340,4,2,0,0,0,14,12,15,6,16,0,0,53,17
CO341,14,0,0,0,4,0,41,9,0,10,0,4,6,27
CO342,0,2,0,0,0,0,0,2,0,2,0,0,6,19
CO343,0,2,16,4,4,23,8,13,0,4,0,0,16,51
CO344,4,1,34,18,7,36,11,36,2,0,0,3,10,58
CO345,0,0,4,2,0,2,6,5,1,2,0,0,0,38
CO346,2,2,16,0,0,20,28,25,1,2,0,0,39,42
CO347,0,0,37,6,0,32,8,17,0,3,0,0,27,91
CO348,4,0,16,0,0,12,3,8,9,6,0,0,14,10
CO349,2,2,0,0,4,8,7,21,0,4,0,0,44,23
CO350,2,0,0,0,0,2,0,0,0,0,0,0,5,11
CO351,0,5,12,2,7,14,6,25,24,19,0,0,0,30
CO352,0,0,20,0,10,2,12,15,14,8,1,0,2,37
CO353,4,16,26,0,2,3,4,22,4,36,0,0,4,40
CO354,0,0,0,0,0,0,1,0,0,1,0,0,44,0
CO355,0,0,0,0,0,2,4,6,0,9,0,0,0,33
CO356,0,0,14,0,2,0,3,13,6,18,20,0,9,87
CO357,0,0,0,0,0,0,11,5,5,10,2,0,54,38
CO358,0,2,0,0,0,2,4,19,6,0,0,0,27,22
CO359,0,2,0,0,0,0,0,1,0,2,0,0,27,4
CO360,0,0,0,0,0,2,0,0,0,2,0,0,2,14
CO361,0,0,0,0,0,0,0,0,0,1,0,0,22,3
CO363,0,0,2,2,0,6,9,0,8,12,0,2,12,18
CO364,0,0,0,0,0,3,5,0,13,30,2,3,14,3
CO365,2,0,0,0,4,0,13,3,1,5,0,2,10,24
CO366,0,2,0,1,0,0,2,37,1,3,1,0,0,27
CO367,0,0,0,0,0,0,18,0,0,0,0,2,8,3
CO368,0,2,0,0,0,0,4,22,6,9,2,0,0,15
CO369,0,0,0,0,0,0,0,0,0,8,0,0,18,52
